"","magnitude","time"
"1",227381,0
"2",439,10
"3",93,11
"4",92,12
"5",553,13
"6",1277,14
"7",536,16
"8",217,18
"9",514,23
"10",326,24
"11",161,25
"12",231,33
"13",800,37
"14",663,39
"15",1023,43
"16",25,45
"17",78,45
"18",17,51
"19",8,51
"20",363,58
"21",69,59
"22",141,64
"23",82,65
"24",126,69
"25",22,71
"26",176,72
"27",45,76
"28",849,79
"29",50,87
"30",1769,93
"31",113,101
"32",42,102
"33",943,105
"34",137,105
"35",29,110
"36",240,116
"37",45,120
"38",237,121
"39",10,121
"40",32,133
"41",1581,137
"42",327,137
"43",151,143
"44",364,154
"45",452,157
"46",28,164
"47",41,171
"48",61,182
"49",43,185
"50",24,185
"51",122,191
"52",118,195
"53",126,195
"54",18,212
"55",317,213
"56",49,216
"57",751,219
"58",38,225
"59",587,242
"60",44,242
"61",104,246
"62",212,251
"63",45,254
"64",15,261
"65",83,270
"66",22,277
"67",29,285
"68",691,288
"69",8,294
"70",260,300
"71",799,305
"72",43,328
"73",285,333
"74",114,347
"75",26,371
"76",5,373
"77",173,396
"78",92,413
"79",141,427
"80",683,429
"81",312,460
"82",950,461
"83",12,472
"84",21265,484
"85",285,490
"86",173,499
"87",18,500
"88",99,508
"89",41,517
"90",1269,528
"91",152,535
"92",49,541
"93",4442,574
"94",135,594
"95",1817,596
"96",35,606
"97",781,629
"98",24,650
"99",8,653
"100",141,661
"101",103,673
"102",108,714
"103",105,715
"104",22,728
"105",10222,729
"106",43,757
"107",15,762
"108",16,764
"109",49,764
"110",732,781
"111",45,789
"112",535,797
"113",28,824
"114",198,870
"115",40,880
"116",33,925
"117",58,937
"118",47,945
"119",60,1034
"120",87,1043
"121",1851,1055
"122",26,1061
"123",107,1093
"124",40,1116
"125",520,1127
"126",131,1137
"127",24,1180
"128",11,1211
"129",148,1237
"130",28,1297
"131",4,1338
"132",48,1356
"133",6,1365
"134",39,1370
"135",48,1387
"136",65,1411
"137",174,1493
"138",159,1514
"139",79,1538
"140",23,1616
"141",103,1634
"142",56,1644
"143",354,1677
"144",95,1680
"145",95,1695
"146",99,1756
"147",771,1846
"148",86,1857
"149",44,1866
"150",138,1881
"151",92,1884
"152",86,1915
"153",27,1925
"154",105,1979
"155",84,2106
"156",50,2121
"157",27,2161
"158",77,2175
"159",1743,2279
"160",75,2357
"161",17,2373
"162",43,2506
"163",7,2516
"164",273,2560
"165",19,2794
"166",21,2832
"167",18,2867
"168",25,3122
"169",786,3455
"170",43,3480
"171",3062,3826
"172",442,4549
"173",51,4627
"174",30,4765
"175",7,4903
"176",23,5469
"177",5,5600
"178",86,5836
"179",9,6047
"180",33,6102
"181",6,6145
"182",342,6176
"183",50,6274
"184",39,6471
"185",26,6736
"186",94,7052
"187",159,7080
"188",29,7640
"189",30,7848
"190",48,8117
"191",34,8399
"192",52,8442
"193",7,8508
"194",14,8633
"195",22,8801
"196",35,9230
"197",280,9742
"198",147,9895
"199",158,10108
"200",17,10485
"201",20,10534
"202",2607,10696
"203",1208,11451
"204",40,12519
"205",209,12779
"206",11,12984
"207",23,12999
"208",38,13103
"209",60,14218
"210",37,14288
"211",25,14895
"212",6,15810
"213",269,16807
"214",2,19941
"215",588,22482
"216",1336,22952
"217",319,23211
"218",19,23583
"219",1581,24054
"220",6110,24299
"221",7,24461
"222",5,30666
"223",367,31434
"224",2,32006
"225",14,32974
"226",115,36607
"227",100,44290
"228",63874,52104
"229",5215,52733
"230",189,87075
"231",148,88880
"232",512,95588
"233",641,107632
"234",7,108318
"235",1490,114592
"236",36,168109
"237",68,176181
"238",29,179147
"239",352,265199
"240",19565,268483
"241",749,268588
"242",18,269508
"243",61,272183
"244",37,374375
"245",44,389607
"246",6445,467209
"247",20,488411
