,magnitude,time
1,40989,0
2,1445,21
3,563,31
4,329,33
5,555,49
6,513,54
7,28145,58
8,100,62
9,164,82
10,491,87
11,303,87
12,532,89
13,825,100
14,2608,100
15,74,101
16,10639,102
17,1054,104
18,195,113
19,877,117
20,469,128
21,421,134
22,228,148
23,11,149
24,108,177
25,686,202
26,62,202
27,490,236
28,373,252
29,457,283
30,981,288
31,553,292
32,354,296
33,723,300
34,193,346
35,580,351
36,873,352
37,326,419
38,1910,432
39,510,443
40,920,449
41,591,452
42,816,488
43,1352,590
44,210,702
45,710,752
46,708,752
47,375,782
48,1003,789
49,76,801
50,411,811
51,48,833
52,99074,953
53,67,972
54,281,1005
55,319,1012
56,371,1013
57,225,1016
58,504,1045
59,233,1055
60,1142,1059
61,42,1067
62,876,1073
63,21,1087
64,1520,1123
65,991,1128
66,325,1179
67,284,1222
68,839,1235
69,1786,1260
70,693,1274
71,56,1275
72,109,1291
73,88,1328
74,12,1345
75,299,1355
76,486,1376
77,40,1377
78,1215,1381
79,655,1419
80,30,1443
81,73,1596
82,1531,1597
83,12,1610
84,124,1687
85,21,1763
86,390,1787
87,169,1848
88,154,1947
89,71,1973
90,105,2135
91,116,2170
92,1365,2194
93,399,2267
94,55,2387
95,50,2507
96,5657,2637
97,149,2639
98,1170,2645
99,11320,2648
100,26989,2658
101,24574,2670
102,16719,2684
103,851,2692
104,166,2692
105,59130,2699
106,79535,2712
107,48,2715
108,108,2723
109,193081,2727
110,567,2731
111,87884,2751
112,344,2762
113,287,2774
114,110824,2774
115,146,2794
116,50265,2795
117,64,2802
118,53015,2808
119,4541,2811
120,87805,2820
121,386,2826
122,437,2835
123,2677,2846
124,8889,2857
125,13469,2870
126,75,2887
127,84,2888
128,41,2889
129,89,2891
130,675,2891
131,958,2910
132,63,2910
133,707,2924
134,920,2948
135,127,2951
136,57,2956
137,24,2985
138,1022,2992
139,481,2993
140,5,3001
141,124,3005
142,460,3029
143,660,3030
144,78,3033
145,51,3060
146,161,3130
147,668,3166
148,27,3184
149,14,3191
150,89,3254
151,290,3311
152,255,3342
153,250,3344
154,34,3364
155,39,3372
156,143,3423
157,494,3442
158,4640,3458
159,55,3480
160,202,3494
161,790,3524
162,175,3537
163,525,3583
164,154,3622
165,36,3652
166,1675,3653
167,1018,3688
168,8,3691
169,218,3727
170,444,3750
171,77,3780
172,198,3812
173,63,3885
174,17,3894
175,8,3910
176,150,3921
177,21,3964
178,60,3984
179,733,4046
180,1019,4066
181,169,4097
182,140,4242
183,148,4440
184,37,4511
185,1280,4535
186,292,4668
187,26,4974
188,366,5128
189,577,5128
190,98,5228
191,900,5272
192,16,5281
193,211,5316
194,161,5422
195,572,5552
196,49,5711
197,91,5824
198,71,6292
199,222,6499
200,142,6672
201,24,6989
202,66,7000
203,533,7054
204,426,7553
205,1303,7638
206,169,7867
207,90,7972
208,369,8660
209,167,8711
210,8570,8800
211,126,8854
212,4,9557
213,90,10754
214,4,14722
215,146,16453
216,174,17021
217,391,18087
218,188,29186
219,16,241072
