start_ind,end_ind
1,63
64,126
127,242
243,295
296,365
366,452
453,793
794,935
936,1087
1088,1161
1162,1250
1251,1316
1317,1395
1396,1628
1629,1934
1935,1987
1988,2113
2114,2205
2206,2616
2617,2717
2718,2829
2830,3081
3082,3136
3137,3246
3247,3332
3333,3739
3740,3814
3815,3895
3896,4577
4578,4637
4638,4701
4702,4949
4950,5163
5164,5328
5329,5400
5401,5704
5705,5887
5888,6311
6312,10339
10340,10528
10529,10613
10614,10666
10667,10730
10731,11944
11945,11996
11997,12277
12278,12338
12339,12998
12999,13073
13074,13155
13156,13247
13248,13323
13324,13671
13672,13734
13735,13800
13801,13911
13912,14033
14034,14139
14140,14237
14238,14337
14338,14413
14414,14557
14558,14829
14830,14897
14898,14978
14979,15041
15042,15116
15117,15238
15239,15389
15390,15474
15475,15579
15580,15669
15670,15755
15756,15812
15813,15876
15877,15955
15956,19971
19972,20041
20042,20321
20322,20471
20472,20756
20757,20978
20979,21047
21048,21117
21118,21191
21192,21250
21251,21300
21301,22482
22483,22532
22533,22609
22610,22708
22709,22828
22829,22885
22886,23102
23103,23169
23170,23255
23256,23391
23392,23448
23449,23514
23515,23571
23572,23762
23763,23817
23818,24397
24398,24655
24656,25179
25180,25231
25232,25322
25323,25393
25394,25467
25468,25540
25541,25590
25591,25641
25642,25697
25698,25763
25764,25865
25866,25934
25935,26075
26076,26360
26361,26412
26413,26524
26525,26793
26794,26858
26859,26970
26971,27288
27289,27349
27350,27443
27444,27504
27505,27554
27555,32590
32591,33088
33089,33158
33159,33212
33213,33263
33264,33340
33341,33390
33391,33451
33452,33507
33508,33580
33581,33856
33857,34152
34153,34449
34450,34506
34507,34907
34908,35004
35005,35095
35096,35155
35156,35209
35210,35358
35359,35415
35416,35476
35477,35611
35612,35663
35664,35725
35726,35891
35892,35949
35950,36045
36046,36123
36124,36368
36369,36431
36432,36496
36497,36564
36565,36668
36669,36756
36757,36895
36896,36951
36952,37014
37015,37070
37071,37161
37162,37274
37275,37411
37412,37493
37494,37641
37642,37695
37696,37787
37788,37838
37839,37899
37900,37976
37977,38030
38031,38112
38113,38179
38180,38360
38361,38455
38456,38515
38516,38583
38584,38663
38664,38716
38717,40444
40445,40519
40520,40720
40721,40870
40871,40933
40934,41161
41162,41242
41243,41327
41328,41441
41442,41573
41574,41732
41733,41926
41927,42027
42028,42283
42284,42513
42514,42565
42566,42617
42618,42684
42685,42788
42789,42866
42867,42919
42920,43000
